problem_id,topic
257,Binary Tree
258,Math
258,Simulation
258,Number Theory
259,Array
259,Two Pointers
259,Binary Search
259,Sorting
260,Array
260,Bit Manipulation
261,Depth-First Search
261,Breadth-First Search
261,Union-Find
261,Graph Theory
262,Database
263,Math
264,Hash Table
264,Math
264,Dynamic Programming
264,Heap (Priority Queue)
265,Array
265,Dynamic Programming
266,Hash Table
266,String
266,Bit Manipulation
267,Hash Table
267,String
267,Backtracking
268,Array
268,Hash Table
268,Math
268,Binary Search
268,Bit Manipulation
268,Sorting
269,Array
269,String
269,Depth-First Search
269,Breadth-First Search
269,Graph Theory
269,Topological Sort
270,Binary Search
270,Tree
270,Depth-First Search
270,Binary Search Tree
270,Binary Tree
271,Array
271,String
271,Design
272,Two Pointers
272,Stack
272,Tree
272,Depth-First Search
272,Binary Search Tree
272,Heap (Priority Queue)
272,Binary Tree
273,Math
273,String
273,Recursion
274,Array
274,Sorting
274,Counting Sort
275,Array
275,Binary Search
276,Dynamic Programming
277,Two Pointers
277,Graph Theory
277,Interactive
278,Binary Search
278,Interactive
279,Math
279,Dynamic Programming
279,Breadth-First Search
280,Array
280,Greedy
280,Sorting
281,Array
281,Design
281,Queue
281,Iterator
282,Math
282,String
282,Backtracking
283,Array
283,Two Pointers
284,Array
284,Design
284,Iterator
285,Tree
285,Depth-First Search
285,Binary Search Tree
285,Binary Tree
286,Array
286,Breadth-First Search
286,Matrix
287,Array
287,Two Pointers
287,Binary Search
287,Bit Manipulation
288,Array
288,Hash Table
288,String
288,Design
289,Array
289,Matrix
289,Simulation
290,Hash Table
290,String
291,Hash Table
291,String
291,Backtracking
292,Math
292,Brainteaser
292,Game Theory
293,String
294,Math
294,Dynamic Programming
294,Backtracking
294,Memoization
294,Game Theory
295,Two Pointers
295,Design
295,Sorting
295,Heap (Priority Queue)
295,Data Stream
296,Array
296,Math
296,Sorting
296,Matrix
297,String
297,Tree
297,Depth-First Search
297,Breadth-First Search
297,Design
297,Binary Tree
298,Tree
298,Depth-First Search
298,Binary Tree
299,Hash Table
299,String
299,Counting
300,Array
300,Binary Search
300,Dynamic Programming
301,String
301,Backtracking
301,Breadth-First Search
302,Array
302,Binary Search
302,Depth-First Search
302,Breadth-First Search
302,Matrix
303,Array
303,Design
303,Prefix Sum
304,Array
304,Design
304,Matrix
304,Prefix Sum
305,Array
305,Hash Table
305,Union-Find
306,String
306,Backtracking
307,Array
307,Divide and Conquer
307,Design
307,Binary Indexed Tree
307,Segment Tree
308,Array
308,Design
308,Binary Indexed Tree
308,Segment Tree
308,Matrix
309,Array
309,Dynamic Programming
310,Depth-First Search
310,Breadth-First Search
310,Graph Theory
310,Topological Sort
311,Array
311,Hash Table
311,Matrix
312,Array
312,Dynamic Programming
313,Array
313,Math
313,Dynamic Programming
314,Hash Table
314,Tree
314,Depth-First Search
314,Breadth-First Search
314,Sorting
314,Binary Tree
315,Array
315,Binary Search
315,Divide and Conquer
315,Binary Indexed Tree
315,Segment Tree
315,Merge Sort
315,Ordered Set
316,String
316,Stack
316,Greedy
316,Monotonic Stack
317,Array
317,Breadth-First Search
317,Matrix
318,Array
318,String
318,Bit Manipulation
319,Math
319,Brainteaser
320,String
320,Backtracking
320,Bit Manipulation
321,Array
321,Two Pointers
321,Stack
321,Greedy
321,Monotonic Stack
322,Array
322,Dynamic Programming
322,Breadth-First Search
323,Depth-First Search
323,Breadth-First Search
323,Union-Find
323,Graph Theory
324,Array
324,Divide and Conquer
324,Greedy
324,Sorting
324,Quickselect
325,Array
325,Hash Table
325,Prefix Sum
326,Math
326,Recursion
327,Array
327,Binary Search
327,Divide and Conquer
327,Binary Indexed Tree
327,Segment Tree
327,Merge Sort
327,Ordered Set
